Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
36.8000      -1147.6225   -1147.8156       0.1930  1493.5
36.9000      -1147.6756   -1147.8427       0.1671  1292.6
37.0000      -1147.6775   -1147.8489       0.1714  1326.3
37.1000      -1147.6461   -1147.8295       0.1833  1418.4
37.2000      -1147.6282   -1147.8376       0.2095  1620.5
37.3000      -1147.6291   -1147.8584       0.2294  1774.3
37.4000      -1147.6886   -1147.8559       0.1673  1294.4
37.5000      -1147.6353   -1147.8606       0.2253  1743.0
37.6000      -1147.6564   -1147.8416       0.1852  1433.2
37.7000      -1147.6406   -1147.8522       0.2115  1636.6
37.8000      -1147.7028   -1147.8599       0.1571  1215.7
37.9000      -1147.6454   -1147.8370       0.1916  1482.1
38.0000      -1147.5835   -1147.7801       0.1966  1521.1
38.1000      -1147.6134   -1147.8024       0.1890  1461.9
38.2000      -1147.6193   -1147.8303       0.2110  1632.5
38.3000      -1147.6117   -1147.8392       0.2274  1759.4
38.4000      -1147.6198   -1147.8270       0.2073  1603.4
38.5000      -1147.6065   -1147.8011       0.1945  1504.9
38.6000      -1147.6452   -1147.8282       0.1830  1415.6
38.7000      -1147.6254   -1147.8339       0.2085  1612.7
38.8000      -1147.6286   -1147.8347       0.2061  1594.2
38.9000      -1147.6482   -1147.8574       0.2092  1618.3
39.0000      -1147.6584   -1147.8859       0.2276  1760.6
39.1000      -1147.6677   -1147.8605       0.1928  1491.5
39.2000      -1147.6734   -1147.8699       0.1964  1519.7
39.3000      -1147.6769   -1147.8556       0.1787  1382.9
39.4000      -1147.6585   -1147.8516       0.1931  1493.6
39.5000      -1147.6410   -1147.8303       0.1893  1464.5
39.6000      -1147.6696   -1147.8665       0.1968  1522.8
39.7000      -1147.7061   -1147.8749       0.1687  1305.4
39.8000      -1147.6959   -1147.8580       0.1621  1253.8
39.9000      -1147.6388   -1147.8339       0.1951  1509.3
40.0000      -1147.6977   -1147.8535       0.1558  1205.0
40.1000      -1147.6603   -1147.8391       0.1788  1383.2
40.2000      -1147.6357   -1147.8269       0.1912  1479.4
40.3000      -1147.6354   -1147.8276       0.1922  1487.1
40.4000      -1147.6715   -1147.8371       0.1656  1281.0
40.5000      -1147.6143   -1147.8197       0.2054  1589.2
40.6000      -1147.5736   -1147.7954       0.2219  1716.4
40.7000      -1147.5880   -1147.7991       0.2110  1632.6
40.8000      -1147.6197   -1147.8259       0.2063  1595.6
40.9000      -1147.6081   -1147.8372       0.2292  1772.9
41.0000      -1147.6192   -1147.8326       0.2135  1651.4
41.1000      -1147.6730   -1147.8506       0.1776  1374.0
41.2000      -1147.6692   -1147.8364       0.1672  1293.2
41.3000      -1147.6747   -1147.8675       0.1928  1491.7
41.4000      -1147.7150   -1147.8594       0.1444  1117.1
41.5000      -1147.6809   -1147.8663       0.1853  1433.9
41.6000      -1147.6308   -1147.8212       0.1904  1473.0
41.7000      -1147.6427   -1147.8291       0.1864  1442.0
41.8000      -1147.6552   -1147.8405       0.1853  1433.3
41.9000      -1147.6806   -1147.8494       0.1688  1305.9
42.0000      -1147.6471   -1147.8433       0.1962  1517.8
42.1000      -1147.6487   -1147.8605       0.2118  1638.3
42.2000      -1147.6178   -1147.8126       0.1948  1506.9
42.3000      -1147.5786   -1147.8029       0.2243  1735.0
42.4000      -1147.5979   -1147.8071       0.2092  1618.4
42.5000      -1147.5996   -1147.8225       0.2228  1723.9
42.6000      -1147.6336   -1147.8257       0.1921  1486.2
42.7000      -1147.6693   -1147.8681       0.1987  1537.5
42.8000      -1147.6411   -1147.8323       0.1911  1478.8
42.9000      -1147.6324   -1147.8191       0.1867  1444.3
43.0000      -1147.6604   -1147.8506       0.1902  1471.7
43.1000      -1147.6279   -1147.8430       0.2150  1663.7
43.2000      -1147.6650   -1147.8484       0.1834  1419.2
43.3000      -1147.6587   -1147.8470       0.1883  1456.4
43.4000      -1147.6561   -1147.8270       0.1709  1322.1
43.5000      -1147.6555   -1147.8374       0.1819  1407.3
43.6000      -1147.6712   -1147.8628       0.1917  1482.7
43.7000      -1147.6442   -1147.8280       0.1837  1421.4
43.8000      -1147.6431   -1147.8227       0.1796  1389.1
43.9000      -1147.6601   -1147.8420       0.1819  1407.1
44.0000      -1147.6671   -1147.8500       0.1829  1415.0
44.1000      -1147.6373   -1147.8674       0.2301  1780.0
44.2000      -1147.6517   -1147.8441       0.1925  1489.0
44.3000      -1147.6346   -1147.8285       0.1939  1500.1
44.4000      -1147.6340   -1147.8275       0.1935  1496.9
44.5000      -1147.6450   -1147.8484       0.2034  1573.8
44.6000      -1147.6481   -1147.8268       0.1787  1382.8
44.7000      -1147.6497   -1147.8191       0.1693  1310.1
44.8000      -1147.6591   -1147.8495       0.1904  1473.0
44.9000      -1147.6620   -1147.8714       0.2094  1620.3
45.0000      -1147.6867   -1147.8673       0.1806  1397.2
45.1000      -1147.6829   -1147.8688       0.1859  1437.8
45.2000      -1147.6827   -1147.8683       0.1856  1435.6
45.3000      -1147.6682   -1147.8430       0.1748  1352.0
45.4000      -1147.6648   -1147.8501       0.1853  1433.5
45.5000      -1147.6492   -1147.8731       0.2239  1732.4
45.6000      -1147.5987   -1147.8056       0.2069  1600.7
45.7000      -1147.6666   -1147.8632       0.1966  1520.7
45.8000      -1147.6763   -1147.8574       0.1811  1401.2
45.9000      -1147.6148   -1147.8192       0.2044  1581.3
46.0000      -1147.5813   -1147.7877       0.2064  1596.6
46.1000      -1147.5935   -1147.7968       0.2033  1573.1
46.2000      -1147.6114   -1147.8210       0.2096  1621.5
46.3000      -1147.6183   -1147.8171       0.1988  1538.2
46.4000      -1147.6369   -1147.8472       0.2103  1626.9
46.5000      -1147.6544   -1147.8465       0.1921  1486.2
46.6000      -1147.6358   -1147.8483       0.2125  1644.0
46.7000      -1147.6516   -1147.8542       0.2026  1567.4
46.8000      -1147.6154   -1147.8374       0.2220  1717.4
46.9000      -1147.6066   -1147.8366       0.2300  1779.2
